,correlation,p_value,n_points,significant
WD_BASIN,0.27749466326177064,0.0001844767911501348,177,True
WDMAX_BASIN,0.20551617900602454,0.006065888891400308,177,True
WDMIN_BASIN,0.17909992947537628,0.017069566280969898,177,True
PPTAVG_BASIN,0.15778736668221796,0.03594857596667557,177,True
PET,-0.10846286129015603,0.1507113221167097,177,False
SNOW_PCT_PRECIP,-0.0804919618544641,0.2868679408197985,177,False
PRECIP_SEAS_IND,-0.04998626306857448,0.5087884584668506,177,False
T_AVG_BASIN,-0.002753542653913945,0.9709841336633748,177,False
