STAID,synchrony_scale_km,latitude,longitude,PPTAVG_BASIN,T_AVG_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,WD_BASIN,WDMAX_BASIN,WDMIN_BASIN,climate_zone
04231000,3000,43.061309,-78.047723,90.3039,8.756027,641.9438,24.50718,0.120104491442418,134.8804,13.94878,8.928165,2
04287000,1200,44.133185,-72.687016,111.3691,5.280631,533.8705,34.30875,0.0777500696990607,135.1143,13.24566,9.578063,2
04288000,1050,44.172817,-72.83916,125.8531,5.047977,527.5117,34.64792,0.089167947293397,146.9687,14.22514,10.06644,2
05438500,850,42.271136,-88.600811,91.71199,8.435785,662.2046,18.75648,0.218421510303261,100.2997,10.16428,6.105858,0
05439500,875,41.986269,-88.734142,93.09839,8.543603,664.1705,18.06734,0.218547360124196,105.5368,10.90987,6.685292,0
05440000,875,42.171966,-88.692754,91.85399,8.488427,663.6219,18.34055,0.221167202440902,102.4809,10.47915,6.346567,0
05451900,575,41.884886,-92.625819,89.90736,8.425865,669.1334,15.0,0.30578587512777,92.78381,11.0,4.912501,0
05453000,600,41.757908,-92.502474,90.53281,8.731979,678.632,14.97551,0.292238121728306,94.94904,10.93915,5.110028,0
05466000,925,41.231473,-90.155476,93.48749,9.611833,706.5793,16.52363,0.203264647618258,101.0646,10.0,6.0,0
05516500,875,41.42641,-86.154643,99.04766,9.759426,689.2246,18.59404,0.134006599635805,116.679,11.46209,7.928732,0
05517000,950,41.38002,-86.231283,99.49974,9.780138,690.3083,18.56488,0.134915020482609,115.7827,11.31353,7.771215,0
05522500,1000,41.042463,-87.085203,97.38804,9.639816,689.9063,17.71167,0.157853743892208,108.261,10.88751,7.500212,0
05524500,1025,40.950103,-87.134383,96.75862,9.732211,693.7904,17.36781,0.157272294806261,109.3967,10.91281,7.736727,0
05525000,1025,40.896265,-87.230909,96.67735,9.809056,697.7993,17.27046,0.158309496032585,110.0871,11.08324,7.80281,0
05530000,175,42.07236,-87.971454,93.06364,9.349537,682.2239,18.0,0.174974001327567,107.1333,10.5081,7.260885,0
05532000,275,41.911096,-87.91909,94.21593,9.592237,692.3702,17.68743,0.169584086548391,108.0229,10.9807,7.744708,0
05533000,375,41.780995,-87.925733,96.52912,9.867682,703.5117,17.0,0.170107830556239,106.6103,10.77237,7.34309,0
05535000,650,42.288972,-87.870705,88.98359,8.433211,643.0114,19.0,0.178870393080851,105.0,10.0,7.0,0
05535500,425,42.175492,-87.872958,92.93584,8.837069,659.8135,19.0,0.171810168562043,105.9597,10.03643,7.0,0
05536000,750,42.163543,-87.832898,92.77867,8.946721,663.8314,18.61121,0.170548748356641,106.7889,10.43095,7.293422,0
05536215,675,41.480424,-87.668911,97.75789,9.620733,693.4814,17.59143,0.162432026171852,105.2191,11.0,7.0,0
05539000,800,41.535413,-87.884189,96.73066,9.740328,698.223,16.99422,0.168793292610571,105.8904,11.0,7.0,0
05568800,925,41.130366,-89.899668,93.73509,9.562061,701.0443,16.94487,0.19507899641075,97.7789,10.0,5.945018,0
06191500,900,44.669182,-110.287429,80.60794,0.7087222,382.501,61.72834,0.127159410051065,127.7934,14.18973,7.457623,4
06192500,900,44.840971,-110.405263,76.40541,1.399309,401.6845,57.92425,0.103433167300306,122.7724,13.77043,7.299628,4
06431500,425,44.306606,-103.921358,68.34156,5.200575,510.1522,28.83867,0.286614026638753,104.9575,12.16847,6.076917,4
06433000,450,44.414286,-104.049206,59.40544,6.222639,556.4823,23.4346,0.286484429865829,94.01329,11.14057,5.438759,4
07066000,900,37.093141,-91.656787,115.8062,13.26068,796.0917,9.091572,0.061148685749053,79.60567,8.065289,5.270726,0
07067000,850,37.221291,-91.475064,116.1866,13.19472,794.949,9.521086,0.0580459712584514,78.82523,8.030965,5.145783,0
07068000,900,37.149321,-91.386239,117.1972,13.23099,796.9971,9.544617,0.0501512088787832,80.33743,8.197651,5.274166,0
08074500,150,29.873011,-95.52326,126.8948,20.12461,1075.313,0.0,0.0664777851331852,80.10014,7.945059,4.999401,0
08075000,125,29.687978,-95.548976,126.8046,20.35552,1089.131,0.0,0.0748498902154222,86.12392,8.915358,5.06746,0
08076000,150,29.956682,-95.434736,126.8298,20.06218,1070.145,0.0,0.0576200222404166,84.44758,8.403018,5.452714,0
08265000,900,36.669835,-105.43119,66.47813,3.318087,402.5495,36.17193,0.100136023757381,86.37973,12.07713,4.993592,4
08267500,1125,36.579031,-105.483698,72.44487,2.883262,390.1629,38.9474,0.0785645209039418,87.52831,12.19033,5.195959,4
08378500,1050,35.849784,-105.62711,86.08022,2.460026,374.6642,32.6909,0.11459623438778,89.68544,13.39563,4.736218,4
08380500,825,35.725587,-105.440517,68.56855,5.846371,464.4902,19.17293,0.220982966670735,80.70684,13.10052,3.76194,4
10109000,900,41.882363,-111.597316,93.63652,4.619616,469.8259,60.9018,0.273348793793494,108.5952,12.02292,4.716341,4
10109001,900,41.882363,-111.597316,93.63541,4.619695,469.8302,60.90141,0.273345615285608,108.5947,12.02285,4.716319,4
10296000,325,38.289306,-119.519815,102.6763,3.834796,402.9777,72.65337,0.46531344057781,79.28226,10.3599,2.958477,4
10296500,325,38.330643,-119.491884,90.55161,4.086116,410.1749,71.86189,0.453748456709317,75.19804,9.949368,2.96929,4
11264500,675,37.709093,-119.42379,119.8793,6.085191,469.3364,68.50051,0.575303696581722,84.53317,13.10519,1.914968,4
11266500,1075,37.738284,-119.48603,121.3029,7.029291,498.7954,60.05605,0.577784965160573,81.17348,12.62593,1.793943,4
11381500,2425,40.23795,-121.674313,143.8948,10.27165,627.7021,28.15644,0.511638544506211,90.05726,12.83741,0.695591,3
