variable,correlation,p_value,n_points,significant
PRECIP_SEAS_IND,0.239419370038908,0.0014175018161701935,175,True
PPTAVG_BASIN,0.21267773123117698,0.004717743742101516,175,True
WDMAX_BASIN,0.1993839884182967,0.00816149662424367,175,True
WDMIN_BASIN,-0.1778120232979284,0.01856429906268278,175,True
WD_BASIN,0.1593718585537231,0.035146497640194514,175,True
PET,-0.12900995896606643,0.0888437450242354,175,False
T_AVG_BASIN,-0.013293237651130545,0.8613935732008893,175,False
SNOW_PCT_PRECIP,0.009774618436594558,0.8978463203423275,175,False
